日志将保存到: ../maps_100samples/Town01/carla_script_20250305_224858_Town01.log
将运行 200 次 get_random_location_from_navigation(), 每一次新的位置上方显示鸟瞰图并标注位置 (带坐标文本):
Iteration 1:  X=95.60, Y=293.70, Z=0.11
Iteration 2:  X=312.06, Y=320.57, Z=0.11
Iteration 3:  X=89.39, Y=335.24, Z=0.11
Iteration 4:  X=400.37, Y=244.85, Z=0.11
Iteration 5:  X=7.22, Y=308.18, Z=0.11
Iteration 6:  X=-5.52, Y=200.45, Z=0.11
Iteration 7:  X=384.33, Y=6.69, Z=0.11
Iteration 8:  X=400.64, Y=81.40, Z=0.11
Iteration 9:  X=120.99, Y=321.65, Z=0.11
Iteration 10:  X=149.71, Y=26.87, Z=0.11
Iteration 11:  X=389.38, Y=275.99, Z=0.11
Iteration 12:  X=398.53, Y=147.60, Z=0.11
Iteration 13:  X=28.85, Y=335.05, Z=0.11
Iteration 14:  X=167.98, Y=334.09, Z=0.11
Iteration 15:  X=296.20, Y=191.84, Z=0.11
Iteration 16:  X=136.06, Y=321.53, Z=0.11
Iteration 17:  X=-4.73, Y=222.96, Z=0.11
Iteration 18:  X=83.70, Y=243.76, Z=0.11
Iteration 19:  X=331.90, Y=262.08, Z=0.11
Iteration 20:  X=341.74, Y=144.24, Z=0.11
Iteration 21:  X=387.67, Y=58.10, Z=0.31
Iteration 22:  X=299.94, Y=127.04, Z=0.11
Iteration 23:  X=170.59, Y=333.70, Z=0.11
Iteration 24:  X=116.18, Y=334.77, Z=0.11
Iteration 25:  X=252.04, Y=201.62, Z=0.11
Iteration 26:  X=387.61, Y=50.87, Z=0.20
Iteration 27:  X=-5.49, Y=195.95, Z=0.11
Iteration 28:  X=11.62, Y=334.12, Z=0.11
Iteration 29:  X=370.60, Y=4.23, Z=0.11
Iteration 30:  X=321.45, Y=202.46, Z=0.11
Iteration 31:  X=168.91, Y=137.27, Z=0.11
Iteration 32:  X=97.45, Y=51.94, Z=0.11
Iteration 33:  X=332.49, Y=234.64, Z=0.11
Iteration 34:  X=121.63, Y=191.19, Z=0.11
Iteration 35:  X=331.47, Y=144.23, Z=0.11
Iteration 36:  X=346.31, Y=323.98, Z=0.11
Iteration 37:  X=280.00, Y=136.89, Z=0.13
Iteration 38:  X=213.49, Y=323.70, Z=0.11
Iteration 39:  X=326.11, Y=-4.61, Z=0.11
Iteration 40:  X=360.64, Y=-7.08, Z=0.11
Iteration 41:  X=266.60, Y=-6.26, Z=0.11
Iteration 42:  X=95.62, Y=23.86, Z=0.11
Iteration 43:  X=342.34, Y=286.78, Z=0.11
Iteration 44:  X=-4.79, Y=64.13, Z=0.11
Iteration 45:  X=85.39, Y=251.78, Z=0.11
Iteration 46:  X=331.59, Y=210.77, Z=0.11
Iteration 47:  X=4.80, Y=213.49, Z=0.11
Iteration 48:  X=344.85, Y=5.85, Z=0.11
Iteration 49:  X=41.92, Y=6.92, Z=0.11
Iteration 50:  X=341.28, Y=311.24, Z=0.11
Iteration 51:  X=142.02, Y=-5.39, Z=0.11
Iteration 52:  X=6.41, Y=14.27, Z=0.11
Iteration 53:  X=135.68, Y=124.56, Z=0.11
Iteration 54:  X=292.16, Y=324.22, Z=0.11
Iteration 55:  X=265.79, Y=191.92, Z=0.11
Iteration 56:  X=52.09, Y=7.06, Z=0.11
Iteration 57:  X=-5.82, Y=32.50, Z=0.12
Iteration 58:  X=59.63, Y=323.78, Z=0.11
