日志将保存到: ../maps_100samples/Town10HD/carla_script_20250306_000941_Town10HD.log
将运行 200 次 get_random_location_from_navigation(), 每一次新的位置上方显示鸟瞰图并标注位置 (带坐标文本):
Iteration 1:  X=118.27, Y=75.68, Z=0.16
Iteration 2:  X=63.58, Y=79.67, Z=0.16
Iteration 3:  X=-2.24, Y=149.66, Z=0.16
Iteration 4:  X=91.47, Y=81.79, Z=0.16
Iteration 5:  X=-112.16, Y=-55.69, Z=0.16
Iteration 6:  X=93.66, Y=86.69, Z=0.16
Iteration 7:  X=-89.29, Y=101.03, Z=0.16
Iteration 8:  X=89.90, Y=-7.72, Z=0.16
Iteration 9:  X=1.67, Y=3.11, Z=0.16
Iteration 10:  X=-66.51, Y=4.85, Z=0.16
Iteration 11:  X=109.33, Y=122.61, Z=0.16
Iteration 12:  X=-16.04, Y=121.74, Z=0.17
Iteration 13:  X=21.42, Y=77.75, Z=0.16
Iteration 14:  X=14.29, Y=149.73, Z=0.16
Iteration 15:  X=-65.91, Y=3.16, Z=0.16
Iteration 16:  X=10.49, Y=-50.36, Z=0.16
Iteration 17:  X=-61.50, Y=-3.43, Z=0.16
Iteration 18:  X=-4.30, Y=77.93, Z=0.16
Iteration 19:  X=-4.09, Y=-77.75, Z=0.16
Iteration 20:  X=118.12, Y=-8.05, Z=0.16
Iteration 21:  X=24.38, Y=6.43, Z=0.16
Iteration 22:  X=-95.86, Y=-25.59, Z=0.16
Iteration 23:  X=50.55, Y=78.07, Z=0.16
Iteration 24:  X=18.98, Y=150.09, Z=0.16
Iteration 25:  X=-83.65, Y=-46.44, Z=0.16
Iteration 26:  X=-5.19, Y=3.75, Z=0.16
Iteration 27:  X=-76.82, Y=146.79, Z=0.16
Iteration 28:  X=115.15, Y=78.52, Z=0.16
Iteration 29:  X=116.12, Y=19.66, Z=0.16
Iteration 30:  X=78.61, Y=79.79, Z=0.16
Iteration 31:  X=90.32, Y=-4.29, Z=0.16
Iteration 32:  X=62.71, Y=-75.49, Z=0.16
Iteration 33:  X=27.19, Y=149.06, Z=0.16
Iteration 34:  X=-11.09, Y=124.60, Z=0.16
Iteration 35:  X=81.49, Y=113.74, Z=0.16
Iteration 36:  X=5.84, Y=2.88, Z=0.16
Iteration 37:  X=-92.13, Y=-33.04, Z=0.16
Iteration 38:  X=56.78, Y=57.39, Z=0.16
Iteration 39:  X=2.81, Y=146.17, Z=0.16
Iteration 40:  X=57.21, Y=121.34, Z=0.16
Iteration 41:  X=37.92, Y=-75.13, Z=0.16
Iteration 42:  X=89.02, Y=-4.09, Z=0.16
Iteration 43:  X=-63.81, Y=-78.77, Z=0.16
Iteration 44:  X=-35.23, Y=92.06, Z=0.16
Iteration 45:  X=52.64, Y=148.41, Z=0.16
Iteration 46:  X=15.49, Y=77.28, Z=0.16
Iteration 47:  X=28.29, Y=121.12, Z=0.16
Iteration 48:  X=-22.16, Y=121.61, Z=0.16
Iteration 49:  X=91.32, Y=49.17, Z=0.16
Iteration 50:  X=90.18, Y=-69.76, Z=0.16
